GroupID,PageID,PostID
1743999185935003,1743999185935003,1918031955198391
1743999185935003,107451408820891,1870681546600099
1743999185935003,107451408820891,1902150436786543
1743999185935003,107451408820891,1915382472130006
1743999185935003,107451408820891,1897582107243376
1743999185935003,107451408820891,1873299063005014
1743999185935003,1743999185935003,1784116611923260
1743999185935003,1743999185935003,1908396482828605
1743999185935003,1743999185935003,1915225652145688
1743999185935003,1743999185935003,1905466239788296
1743999185935003,107451408820891,1871453299856257
1743999185935003,107451408820891,1911784852489768
1743999185935003,107451408820891,1891074501227470
1743999185935003,1276118815868876,1909309236070663
1743999185935003,1743999185935003,1908111676190419
1743999185935003,1743999185935003,1898969853771268
1743999185935003,106351608075638,1886031365065117
1743999185935003,102556236038386,1885756031759317
1743999185935003,1743999185935003,1876443829357204
1743999185935003,106351608075638,1875014162833504
1743999185935003,103438025892039,1871537933181127
1743999185935003,1743999185935003,1832343897100531
1743999185935003,1743999185935003,1865467373788183
1743999185935003,1743999185935003,1859810887687165
1743999185935003,1743999185935003,1835493276785593
1743999185935003,107451408820891,1860406680960919
1743999185935003,107451408820891,1865467317121522
1743999185935003,1743999185935003,1862247564110164
1743999185935003,1743999185935003,1865467253788195
1743999185935003,104400186269172,1863218914013029
1743999185935003,104400186269172,1865467207121533
1743999185935003,106351608075638,1852845975050323
1743999185935003,114364421535245,1845390272462560
1743999185935003,106351608075638,1840362082965379
1743999185935003,1743999185935003,1840214659646788
1743999185935003,1743999185935003,1839298266405094
1743999185935003,1743999185935003,1839298709738383
1743999185935003,110467148475242,1839253286409592
1743999185935003,1743999185935003,1815678058767115
1743999185935003,1743999185935003,1837717929896461
1743999185935003,106351608075638,1837132483288339
1743999185935003,106351608075638,1835664660101788
1743999185935003,106351608075638,1835458356789085
1743999185935003,106351608075638,1806047746396813
1743999185935003,1743999185935003,1802873730047548
1743999185935003,1743999185935003,1803668319968089
1743999185935003,1743999185935003,1806714192996835
1743999185935003,1743999185935003,1802995566702031
1743999185935003,1743999185935003,1802961663372088
1743999185935003,1743999185935003,1802945943373660
1743999185935003,1743999185935003,1806049056396682
1743999185935003,1743999185935003,1802996760035245
1743999185935003,1743999185935003,1806188836382704
1743999185935003,1743999185935003,1744752102526378
1743999185935003,1743999185935003,1770719366596318
1743999185935003,1743999185935003,1796887587312829
1743999185935003,1743999185935003,1806714806330107
1743999185935003,1743999185935003,1765573670444221
1743999185935003,106351608075638,1783822125286042
1743999185935003,106351608075638,1806714746330113
1743999185935003,106351608075638,1803576749977246
1743999185935003,1743999185935003,1780291075639147
1743999185935003,1743999185935003,1807412592926995
1743999185935003,1743999185935003,1785953965072858
1743999185935003,1743999185935003,1786434591691462
1743999185935003,1743999185935003,1804717533196501
1743999185935003,1743999185935003,1804717726529815
1743999185935003,1743999185935003,1780988935569361
1743999185935003,1743999185935003,1806714589663462
1743999185935003,1743999185935003,1807335599601361
1743999185935003,1743999185935003,1790370141297907
1743999185935003,1743999185935003,1790120174656237
1743999185935003,106351608075638,1806189116382676
1743999185935003,106351608075638,1806714092996845
1743999185935003,106351608075638,1806397833028471
1743999185935003,1743999185935003,1790232497978338
1743999185935003,1743999185935003,1808148602853394
1743999185935003,1743999185935003,1798635003804754
1743999185935003,1743999185935003,1790369967964591
1743999185935003,103263912417236,1782536018747986
1743999185935003,103263912417236,1808149006186687
1743999185935003,1743999185935003,1809040059430915
1743999185935003,1743999185935003,1813992178935703
1743999185935003,1743999185935003,1781779682156953
1743999185935003,1743999185935003,1818988588436062
1743999185935003,1743999185935003,1818988425102745
1743999185935003,1743999185935003,1808148879520033
1743999185935003,1743999185935003,1783764471958474
1743999185935003,1743999185935003,1783754308626157
1743999185935003,1743999185935003,1807400732928181
1743999185935003,1743999185935003,1808692566132331
1743999185935003,1743999185935003,1808147432853511
1743999185935003,1743999185935003,1807584376243150
1743999185935003,103682835848465,1822273958107525
1743999185935003,101082676099337,1809018942766360
1743999185935003,101082676099337,1812237585777829
1743999185935003,1743999185935003,1810421839292737
1743999185935003,1743999185935003,1810422525959335
1743999185935003,115163147835817,1780285175639737
1743999185935003,115163147835817,1808148689520052
1743999185935003,115163147835817,1780989462235975
1743999185935003,115163147835817,1789391844729070
1743999185935003,115163147835817,1789416444726610
1743999185935003,115163147835817,1795944857407102
1743999185935003,115163147835817,1792156417785946
1743999185935003,115163147835817,1794522864215968
1743999185935003,115163147835817,1790370424631212
1743999185935003,115163147835817,1790120081322913
1743999185935003,108361718576408,1794019410932980
1743999185935003,108361718576408,1806576273010627
1743999185935003,106351608075638,1806017426399845
1743999185935003,109237458671912,1801624560172465
1743999185935003,112267291598029,1793330371001884
1743999185935003,1743999185935003,1791660881168833
1743999185935003,1743999185935003,1791685387833049
1743999185935003,1743999185935003,1789910394677215
1743999185935003,1743999185935003,1786077901727131
1743999185935003,1743999185935003,1783954618606126
1743999185935003,1743999185935003,1783801108621477
1743999185935003,101056656176850,1781746728826915
1743999185935003,1743999185935003,1772142339787354
1743999185935003,1743999185935003,1781590358842552
1743999185935003,1743999185935003,1774276622907259
1743999185935003,1743999185935003,1780701748931413
1743999185935003,1743999185935003,1780976615570593
1743999185935003,1743999185935003,1777505052584416
1743999185935003,1743999185935003,1781039742230947
1743999185935003,110469751705987,1765573343777587
1743999185935003,1743999185935003,1744001232601465
1743999185935003,1743999185935003,1772505403084381
1743999185935003,1743999185935003,1770712559930332
1743999185935003,1743999185935003,1776828509318737
1743999185935003,1743999185935003,1773657349635853
1743999185935003,1743999185935003,1772456226422632
1743999185935003,1743999185935003,1753880778280177
1743999185935003,1743999185935003,1744001275934794
1743999185935003,1743999185935003,1751038008564454
1743999185935003,1743999185935003,1751349235199998
1743999185935003,1743999185935003,1744001515934770
1743999185935003,1743999185935003,1749691578699097
1743999185935003,1743999185935003,1766197797048475
1743999185935003,1743999185935003,1744003292601259
1743999185935003,1743999185935003,1743999722601616
1743999185935003,1743999185935003,1743999192601669
1743999185935003,1743999185935003,1753908194944102
1743999185935003,1743999185935003,1770719166596338
1743999185935003,1743999185935003,1756554428012812
1743999185935003,1743999185935003,1765573633777558
994847924564121,994847924564121,1162661131116132
994847924564121,994847924564121,1162051231177122
994847924564121,994847924564121,1161209781261267
994847924564121,994847924564121,1160912664624312
994847924564121,994847924564121,1160600521322193
994847924564121,994847924564121,1159875248061387
994847924564121,994847924564121,1157272354988343
994847924564121,994847924564121,1155205805194998
994847924564121,994847924564121,1154455491936696
994847924564121,994847924564121,1153815585334020
994847924564121,994847924564121,1153760792006166
994847924564121,994847924564121,1153232605392318
994847924564121,994847924564121,1152579395457639
994847924564121,994847924564121,1150741088974803
994847924564121,994847924564121,1150796835635895
994847924564121,994847924564121,1150227815692797
994847924564121,994847924564121,1150277155687863
994847924564121,994847924564121,1149397795775799
994847924564121,994847924564121,1149543819094530
994847924564121,994847924564121,1148819689166943
994847924564121,102242899333609,1148749589173953
994847924564121,994847924564121,1148537705861808
994847924564121,994847924564121,1147996902582555
994847924564121,994847924564121,1147290635986515
994847924564121,994847924564121,1043703489678564
994847924564121,994847924564121,1146990779349834
994847924564121,994847924564121,1047277462654500
994847924564121,994847924564121,1047295262652720
994847924564121,994847924564121,1044236576291922
994847924564121,994847924564121,1146858859363026
994847924564121,994847924564121,1146852849363627
994847924564121,994847924564121,1146847282697517
994847924564121,994847924564121,1146842202698025
994847924564121,994847924564121,1146835026032076
994847924564121,994847924564121,1141165946598984
994847924564121,994847924564121,1139204683461777
994847924564121,994847924564121,1138476070201305
994847924564121,994847924564121,1137621476953431
994847924564121,994847924564121,1136829070366005
994847924564121,994847924564121,1121390788576500
994847924564121,994847924564121,1136282230420689
994847924564121,994847924564121,1121404795241766
994847924564121,994847924564121,1135738127141766
994847924564121,994847924564121,1121392581909654
994847924564121,994847924564121,1129417824440463
994847924564121,994847924564121,1135333330515579
994847924564121,994847924564121,1136282043754041
994847924564121,994847924564121,1133848970664015
